address,square_feet,land_area,year_built,property_class,use_type,market_value
434 N ARMOUR,39252.0,34020.0,1931,597,retail/warehouse,5454065.4
310 N LEAVITT,6200.0,6250.0,1944,597,Warehouse,645846.25
2015 W CARROLL,173038.0,73680.0,1898,597,warehouse,16267699.8266563
2010 W FULTON,177382.0,83231.0,1899,597,office/warehouse,23492804.67125
2234 W WALNUT,45208.0,73464.0,1964,597,warehouse,4709260.85
1911 W LAKE,12500.0,12500.0,1927,597,office/warehouse,1949281.25
345 N LOOMIS,53949.0,16619.0,1909,597,office/warehouse,8855728.350000001
1604  16TH CHICAGO HEIGHTS,2190.0,21600.0,1963,5-22,Office/Warehouse,92846.99362499999
1901 E END CHICAGO HEIGHTS,8224.0,8400.0,1926,5-92,office/warehouse,348663.7788
29  SAUK SOUTH CHICAGO HEIGHTS,2091.0,4256.0,1968,5-22,Office/Warehouse,124907.976
3595  GLENWOOD DYER CHICAGO HEIGHTS,19300.0,188919.0,1967,8-33,Office/Warehouse,1212620.8763888902
15818  ALBANY MARKHAM,5777.0,19800.0,1954,"5-97, 5-90, 5-90, 5-97",Office/Warehouse,333988.196423292
15515  CRAWFORD MARKHAM,15847.0,93684.0,2009,5-33,Office/Warehouse,707949.1252792289
6140 W 167TH TINLEY PARK,1668.0,21849.0,1981,5-97,office/warehouse,179330.98668333297
16247  GEORGE BRENNAN TINLEY PARK,6093.0,39421.0,1977,"5-90, 5-97",office/warehouse,513924.76467500004
16350  CRAWFORD MARKHAM,3080.0,219542.0,1953,5-33,office/warehouse,724433.519555556
4020  165TH OAK FOREST,2726.0,20037.0,1971,5-22,office/warehouse,167198.878791
16621  HAMLIN MARKHAM,1574.0,29860.0,1967,5-33,office/warehouse,173912.613783944
16601  HAMLIN MARKHAM,9000.0,74440.0,2011,"8-33, 8-90, 5-33",office/warehouse,603794.2749999999
3853 W 163RD MARKHAM,3092.0,78494.0,1966,"5-33, 5-90",office/warehouse,297491.810922222
1034 W 21ST,5000.0,5022.0,1960,597,warehouse,372031.25
112  MAIN LEMONT,8862.0,9692.0,1985,5-92,Office/Warehouse,548185.8867843751
211 E ILLINOIS LEMONT,3400.0,2860.0,1904,5-92,Office/Warehouse,210968.44875
9404  47TH BROOKFIELD,5120.0,8496.0,1979,"5-92, 5-92, 5-90",Office/Warehouse,384075.17364705907
800 W PERSHING CHICAGO,26261.0,182912.0,1963,"6-63, 5-97",Industrial-Storage Warehouses,3495000.0
819 W 38TH CHICAGO,32800.0,126113.0,1926,"5-80, 5-80, 5-80, 5-80, 5-80, 5-80, 5-80, 5-93, 5-93, 5-93, 5-93, 5-93, 5-93, 5-80, 5-80, 5-80, 5-93, 5-93, 5-93, 5-93, 5-80, 5-80, 5-80, 5-80",Industrial-Light Manufacturing,2714000.0
9630 S 76TH HICKORY HILLS,81030.0,181994.0,1998,5-92,office/warehouse,3335303.51672823
7715  88TH BRIDGEVIEW,3840.0,85060.0,1900,"5-90, 5-33, 5-90, 5-90",office/warehouse,485281.995294118
7725 W 98TH HICKORY HILLS,33708.0,92815.0,1920,5-92,office/warehouse,1358412.11432714
9701 S 78TH HICKORY HILLS,9320.0,65160.0,1977,"5-90, 5-92",office/warehouse,806013.718316471
9735  INDUSTRIAL BRIDGEVIEW,26000.0,92854.0,1979,5-92,office/warehouse,1458140.427
9731  125TH PALOS PARK,1413.0,62725.0,1920,5-97,office/warehouse,278576.60954117606
920 W PERSHING CHICAGO,34220.0,57399.0,1968,6-63,Industrial-Storage Warehouses,3768000.0
6545 N OLMSTED,7996.0,10155.0,1968,,WAREHOUSE,711430.773333333
815 W 21ST,35340.0,37341.0,1927,597,warehouse,2629516.8749999995
6639 N AVONDALE,8550.0,17500.0,1932,,WAREHOUSE,760722.0
6619 N AVONDALE,15762.0,26250.0,1935,,WAREHOUSE,1145634.7
6569 N OLMSTED,2000.0,4700.0,1949,,WAREHOUSE,177946.666666667
6120 N PULASKI,8642.0,12412.0,1954,,WAREHOUSE,768907.5466666671
6116 N PULASKI,1952.0,3103.0,1956,,WAREHOUSE,173675.946666667
6100 N PULASKI,8094.0,15500.0,1936,,WAREHOUSE,720150.16
6033 N KEYSTONE,5650.0,8192.0,1952,,WAREHOUSE,502699.3333333331
6023 N KEYSTONE,5787.0,7910.0,1954,,WAREHOUSE,514888.68
5901 N ROGERS,35380.0,57111.0,1962,,WAREHOUSE,2192144.8
5879 N ROGERS,36450.0,162827.0,1982,,WAREHOUSE,2258442.0
5640 N TRIPP,115300.0,177127.0,1977,,WAREHOUSE,4752089.5
5748 N PULASKI,32130.0,70040.0,1984,,WAREHOUSE,1990774.8
5638 N ELSTON,2500.0,3000.0,1985,,WAREHOUSE,222433.333333333
5456 W BRYN MAWR,18192.0,28242.0,1988,,WAREHOUSE,1427722.1538461503
5456 W BRYN MAWR,11840.0,25212.0,1969,,WAREHOUSE,860570.6666666671
5709 N NORTHWEST,13125.0,14797.0,1981,,WAREHOUSE,953968.75
5710 N NORTHWEST,4828.0,6305.0,1956,,WAREHOUSE,429563.25333333306
5600 N NORTHWEST,7810.0,15880.0,1949,,WAREHOUSE,694881.733333333
5666 N NORTHWEST,5025.0,11047.0,1975,,WAREHOUSE,481085.7692307691
5549 N NORTHWEST,12314.0,13699.0,1959,,WAREHOUSE,895022.5666666671
5541 N NORTHWEST,9568.0,11683.0,1977,,WAREHOUSE,851296.8533333332
5523 N NORTHWEST,5866.0,5929.0,1963,,WAREHOUSE,521917.5733333331
5328 N NORTHWEST,1520.0,6994.0,1943,,WAREHOUSE,135239.466666667
5308 N NORTHWEST,5564.0,7144.0,1972,,WAREHOUSE,495047.626666667
5296 N NORTHWEST,14978.0,16582.0,1959,,WAREHOUSE,1088650.96666667
5292 N NORTHWEST,7167.0,8522.0,1959,,WAREHOUSE,637671.88
5512 N ELSTON,9575.0,9627.0,1964,,WAREHOUSE,851919.6666666671
5555 N ELSTON,51330.0,126532.0,1976,,WAREHOUSE,2803045.75
5542 N LEAVENWORTH,13375.0,15363.0,1968,,WAREHOUSE,972139.583333333
5501 N ELSTON,4410.0,5973.0,1962,,WAREHOUSE,392372.4
5512 N ELSTON,12873.0,14833.0,1967,,WAREHOUSE,935652.55
5568 N LYNCH,3000.0,3125.0,2008,,WAREHOUSE,287215.38461538503
5570 N LYNCH,3000.0,3125.0,2008,,WAREHOUSE,287215.38461538503
5590 N LYNCH,2491.0,3620.0,1962,,WAREHOUSE,221632.573333333
5445 N ELSTON,126050.0,173874.0,1966,,WAREHOUSE,5195150.75
5555 N LYNCH,19304.0,29005.0,1965,,WAREHOUSE,1403079.0666666701
5535 N LYNCH,26818.0,37419.0,1968,,WAREHOUSE,1661643.28
5515 N LYNCH,30717.0,44967.0,1970,,WAREHOUSE,1903225.32
5526 N ELSTON,5095.0,6250.0,1951,,WAREHOUSE,453319.13333333307
5514 N ELSTON,28317.0,24818.0,1970,,WAREHOUSE,1754521.32
5476 N ELSTON,5500.0,6250.0,1950,,WAREHOUSE,489353.3333333331
5406 N ELSTON,4500.0,5600.0,1963,,WAREHOUSE,430823.076923077
5333 N ELSTON,42405.0,53535.0,1961,,WAREHOUSE,2315666.3749999995
5320 N ELSTON,2000.0,3125.0,1967,,WAREHOUSE,177946.666666667
5308 N ELSTON,12428.0,20301.0,1963,,WAREHOUSE,903308.4666666671
5351 N KEDZIE,3600.0,12400.0,1963,,WAREHOUSE,344658.461538462
5333 N KEDZIE,3200.0,7440.0,1952,,WAREHOUSE,284714.666666667
5547 N LINCOLN,4563.0,4650.0,1986,,WAREHOUSE,436854.6
5049 N KEDZIE,2820.0,7500.0,1951,,WAREHOUSE,250904.8
5035 N KEDZIE,19128.0,15000.0,1961,,WAREHOUSE,1390286.8
4513 N KEDZIE,8394.0,9375.0,1958,,WAREHOUSE,746842.16
4521 N KEDZIE,6100.0,6250.0,1960,,WAREHOUSE,542737.3333333331
4515 N KEDZIE,6100.0,6250.0,1960,,WAREHOUSE,542737.3333333331
4642 N WESTERN,17688.0,4428.0,1925,,WAREHOUSE,1285622.8
4329 N KEDZIE,6205.0,6250.0,1924,,WAREHOUSE,552079.5333333331
4319 N KEDZIE,12500.0,12500.0,1929,,WAREHOUSE,853125.0
2907 W MONTROSE,38000.0,19182.0,1966,,WAREHOUSE,2354480.0
2823 W MONTROSE,6350.0,6400.0,1915,,WAREHOUSE,564980.6666666671
2815 W MONTROSE,17928.0,9600.0,1934,,WAREHOUSE,1223586.0
4344 N CALIFORNIA,6242.0,6306.0,1929,,WAREHOUSE,555371.5466666671
4336 N CALIFORNIA,6174.0,6188.0,1929,,WAREHOUSE,549321.3600000001
4122 N ROCKWELL,16233.0,4075.0,1955,,WAREHOUSE,1179868.55
4101 N ROCKWELL,11185.0,12075.0,1960,,WAREHOUSE,812963.083333333
4121 N ROCKWELL,6200.0,6960.0,1960,,WAREHOUSE,551634.6666666671
4155 N ROCKWELL,7656.0,8595.0,1974,,WAREHOUSE,681179.8400000001
4050 N ROCKWELL,24537.0,27265.0,1961,,WAREHOUSE,1520312.52
4033 N ROCKWELL,64747.0,30763.0,1936,,WAREHOUSE,3535725.7583333296
4052 N WESTERN,2500.0,2700.0,1930,,WAREHOUSE,239346.153846154
2452 W IRVING PARK,6233.0,10260.0,1946,,WAREHOUSE,554570.786666667
3725 W LAWRENCE,6250.0,6250.0,1957,,WAREHOUSE,556083.3333333331
4440 N ELSTON,6200.0,6250.0,1954,,WAREHOUSE,551634.6666666671
4440 N ELSTON,5505.0,6250.0,1953,,WAREHOUSE,489798.2
4428 N ELSTON,6190.0,6250.0,1931,,WAREHOUSE,518722.0
4463 N ELSTON,15855.0,13375.0,1965,,WAREHOUSE,1152394.25
4461 N ELSTON,14305.0,3125.0,1961,,WAREHOUSE,1039735.08333333
4433 N ELSTON,4725.0,3125.0,1960,,WAREHOUSE,420399.0
4720 W PENSACOLA,13945.0,13529.0,2019,,WAREHOUSE,1094414.3269230803
4316 N KILPATRICK,25575.0,25408.0,1937,,WAREHOUSE,1584627.0
4350 N KNOX,42849.0,52137.0,1950,,WAREHOUSE,2535095.16346154
4300 N KNOX,40175.0,56158.0,1947,,WAREHOUSE,2193889.79166667
4258 N KNOX,49200.0,69360.0,1946,,WAREHOUSE,2686730.0
4114 N KNOX,36557.0,59134.0,1963,,WAREHOUSE,2265071.72
4404 W BERTEAU,66398.0,232853.0,1970,,WAREHOUSE,3625884.1166666695
4321 N KNOX,70677.0,69795.0,1966,,WAREHOUSE,3859553.175
4664 W IRVING PARK,7950.0,15000.0,1926,,WAREHOUSE,666210.0
4148 N KOLMAR,11604.0,11611.0,1950,,WAREHOUSE,843417.4
4143 N KOSTNER,10894.0,9687.0,1936,,WAREHOUSE,791812.233333333
4149 N KOSTNER,3190.0,2377.0,1932,,WAREHOUSE,267322.0
4257 W MONTROSE,858.0,4850.0,1942,,WAREHOUSE,76339.12000000001
4149 W MONTROSE,28504.0,29214.0,1935,,WAREHOUSE,1658932.8
4250 N PULASKI,12360.0,16921.0,1920,,WAREHOUSE,843570.0
4234 N PULASKI,8400.0,8700.0,1923,,WAREHOUSE,703920.0
4645 N MILWAUKEE,7500.0,8000.0,1961,,WAREHOUSE,667300.0
5634 N NORTHWEST,26600.0,13375.0,1978,,WAREHOUSE,1648136.0
5688 N NORTHWEST,11810.0,14178.0,1972,,WAREHOUSE,858390.1666666671
5634 N NORTHWEST,4850.0,6648.0,1972,,WAREHOUSE,431520.666666667
5621 N NORTHWEST,32753.0,37445.0,1963,,WAREHOUSE,2029375.8800000001
6218 N NORTHWEST,15600.0,38428.0,2017,,WAREHOUSE,1224300.0
6131 N NORTHWEST,24881.0,7150.0,1929,,COLD STORAGE WAREHOUSE,1541626.76
5990 N NORTHWEST,10914.0,12100.0,1959,,WAREHOUSE,793265.9
5990 N NORTHWEST,15408.0,11770.0,1959,,WAREHOUSE,1119904.8
6030 N NORTHWEST,12720.0,16280.0,1957,,WAREHOUSE,924532.0
5923 N NORTHWEST,14480.0,16500.0,1964,,WAREHOUSE,1052454.6666666702
5830 N NORTHWEST,12000.0,12250.0,1956,,WAREHOUSE,872200.0
5574 N NORTHWEST,8747.0,10703.0,1959,,WAREHOUSE,778249.746666667
5566 N NORTHWEST,14641.0,19978.0,1952,,WAREHOUSE,1064156.68333333
5560 N NORTHWEST,17146.0,22149.0,1952,,WAREHOUSE,1246228.4333333299
5569 N NORTHWEST,21405.0,25429.0,1978,,WAREHOUSE,1326253.8
5559 N NORTHWEST,6078.0,9553.0,1960,,WAREHOUSE,540779.92
5236 N ELSTON,1800.0,9283.0,1980,,WAREHOUSE,160152.0
5022 W FOSTER,5805.0,10787.0,1999,,WAREHOUSE,555761.7692307689
5272 N ELSTON,7332.0,11750.0,1960,,WAREHOUSE,652352.48
5170 N NORTHWEST,25650.0,22486.0,1984,,WAREHOUSE,1589274.0
5375 W GALE,3940.0,7971.0,1952,,WAREHOUSE,350554.9333333331
4908 W GUNNISON,4935.0,9255.0,1926,,WAREHOUSE,413553.0
5038 W LAWRENCE,9330.0,9450.0,1975,,WAREHOUSE,830121.2
5046 W LAWRENCE,10500.0,12600.0,1970,,WAREHOUSE,763175.0
4958 W LAWRENCE,9064.0,11961.0,1928,,WAREHOUSE,759563.2
4848 W LAWRENCE,14000.0,27675.0,1962,,WAREHOUSE,1017566.6666666701
5092 N KIMBERLY,46135.0,78226.0,1993,,WAREHOUSE,2729506.29807692
4914 N ELSTON,16466.0,18750.0,1952,,WAREHOUSE,1196803.76666667
4640 W LAWRENCE,13304.0,8292.0,1958,,WAREHOUSE,966979.0666666671
4636 W LAWRENCE,3350.0,6250.0,1946,,WAREHOUSE,298060.666666667
4508 W LAWRENCE,13125.0,13125.0,1924,,WAREHOUSE,1030060.09615385
4985 N ELSTON,7125.0,7242.0,1936,,WAREHOUSE,682136.5384615381
4979 N ELSTON,3975.0,9375.0,1950,,WAREHOUSE,353669.0
4947 N ELSTON,3850.0,6250.0,1993,,WAREHOUSE,368593.076923077
4911 N ELSTON,7800.0,11250.0,1967,,WAREHOUSE,693992.0
4240 W LAWRENCE,10248.0,13767.0,1967,,RETAIL WAREHOUSE,744858.8
4142 W LAWRENCE,11350.0,19937.0,1988,,WAREHOUSE,890756.730769231
5500 N KEDZIE,9404.0,8047.0,1957,,WAREHOUSE,836705.226666667
5526 N KEDZIE,8250.0,9300.0,1959,,WAREHOUSE,734030.0
4833 N PULASKI,2952.0,10044.0,1937,,WAREHOUSE,262649.28
5419 N KEDZIE,11455.0,15500.0,1959,,WAREHOUSE,832587.583333333
3715 W LAWRENCE,6250.0,6250.0,1946,,WAREHOUSE,556083.3333333331
4623 N PULASKI,7985.0,12500.0,1963,,WAREHOUSE,764471.615384615
4539 N PULASKI,6000.0,6683.0,1976,,WAREHOUSE,533840.0
4535 N PULASKI,1568.0,6416.0,1988,,WAREHOUSE,150117.90769230798
3600 W MONTROSE,32634.0,33360.0,1975,,WAREHOUSE,2022002.6400000001
3342 W MONTROSE,3804.0,6625.0,1946,,WAREHOUSE,338454.56
3306 W MONTROSE,2875.0,3125.0,1978,,WAREHOUSE,255798.333333333
4251 N HARDING,5036.0,5448.0,1949,,WAREHOUSE,448069.706666667
4245 N ELSTON,4861.0,4615.0,2003,,WAREHOUSE,465384.661538462
4257 N ELSTON,5548.0,9397.0,2014,,WAREHOUSE,531156.984615385
4248 N ELSTON,12500.0,12500.0,1956,,WAREHOUSE,908541.6666666671
4218 N ELSTON,19341.0,15577.0,1923,,WAREHOUSE,1405768.35
4236 N ELSTON,18625.0,15625.0,1968,,WAREHOUSE,1353727.08333333
4155 N ELSTON,2359.0,2822.0,1979,,WAREHOUSE,225847.030769231
4162 N ELSTON,4300.0,6250.0,1951,,WAREHOUSE,382585.3333333331
4029 N ELSTON,3125.0,3125.0,1966,,WAREHOUSE,278041.666666667
4339 N CENTRAL PARK,5400.0,6232.0,1902,,WAREHOUSE,452520.0
4335 N CENTRAL PARK,5376.0,6250.0,1945,,WAREHOUSE,478320.63999999996
3317 W MONTROSE,14852.0,15625.0,1931,,WAREHOUSE,1013649.0
4038 N KEDZIE,18000.0,6104.0,1927,,WAREHOUSE,1228500.0
4508 W MONTROSE,27726.0,17625.0,1968,,WAREHOUSE,1717902.96
4209 W LAWRENCE,4500.0,6000.0,1928,,WAREHOUSE,377100.0
4567 N ELSTON,5000.0,6250.0,1976,,WAREHOUSE,444866.666666667
4559 N ELSTON,3000.0,3125.0,1966,,WAREHOUSE,266920.0
4555 N ELSTON,5500.0,6937.0,1978,,WAREHOUSE,489353.3333333331
3326 W DICKENS,9063.0,12500.0,1969,,WAREHOUSE,806365.3200000001
4522 N ELSTON,6125.0,6250.0,1964,,WAREHOUSE,544961.6666666671
4549 N ELSTON,12500.0,12500.0,1970,,WAREHOUSE,908541.6666666671
4519 N ELSTON,4950.0,6250.0,1970,,WAREHOUSE,440418.0
4304 W MONTROSE,16169.0,21361.0,1965,,WAREHOUSE,1175216.8166666701
4228 W MONTROSE,6512.0,10477.0,1997,,WAREHOUSE,623448.861538462
4474 N ELSTON,2907.0,6250.0,1960,,WAREHOUSE,258645.47999999998
4462 N ELSTON,7250.0,6250.0,1958,,WAREHOUSE,645056.6666666671
4446 N ELSTON,12500.0,12500.0,1924,,WAREHOUSE,853125.0
4457 N MILWAUKEE,6250.0,6250.0,1962,,WAREHOUSE,556083.3333333331
5515 W MONTROSE,1500.0,3750.0,1961,,WAREHOUSE,133460.0
6610 W IRVING PARK,27456.0,75697.0,1981,,WAREHOUSE,1701173.76
6701 W FOREST PRESERVE,62061.0,243265.0,2001,,WAREHOUSE,3671743.5865384606
4230 N NORMANDY,70180.0,225202.0,2005,,WAREHOUSE,4152091.7307692296
6953 W IRVING PARK,14975.0,22082.0,1984,,WAREHOUSE,1088432.91666667
6620 W DAKIN,1620.0,9400.0,1979,,WAREHOUSE,144136.8
6620 W DAKIN,10500.0,12125.0,1956,,WAREHOUSE,763175.0
6610 W DAKIN,10715.0,15008.0,1966,,WAREHOUSE,778801.9166666671
3961 N NORMANDY,1728.0,10903.0,1950,,WAREHOUSE,153745.91999999998
6620 W BELMONT,6232.0,7125.0,1953,,WAREHOUSE,554481.8133333331
3254 N NARRAGANSETT,8291.0,13975.0,1942,,WAREHOUSE,737677.9066666671
5045 W IRVING PARK,45240.0,30750.0,1965,,WAREHOUSE,2470481.0
3746 N CICERO,8669.0,10393.0,1977,,WAREHOUSE,771309.8266666671
5421 W ADDISON,1331.0,6281.0,1931,,WAREHOUSE,111537.8
5423 W ADDISON,1181.0,1968.0,1980,,WAREHOUSE,105077.506666667
4942 W BELMONT,4125.0,9375.0,1996,,WAREHOUSE,394921.153846154
4916 W BELMONT,6734.0,7812.0,1956,,WAREHOUSE,599146.4266666671
4918 W BELMONT,4488.0,6250.0,1956,,WAREHOUSE,399312.32
3871 N MILWAUKEE,13831.0,15136.0,1949,,WAREHOUSE,1005283.18333333
3800 N MILWAUKEE,132117.0,153788.0,1959,,WAREHOUSE,5927225.94807692
3648 N KILBOURN,53808.0,53858.0,1993,,WAREHOUSE,3183467.5384615394
4516 W ADDISON,37145.0,40329.0,1953,,WAREHOUSE,2301504.2
4350 W ADDISON,1808.0,2300.0,1921,,WAREHOUSE,151510.4
3509 N CICERO,6000.0,6750.0,1943,,WAREHOUSE,533840.0
3500 N KNOX,10736.0,11000.0,1936,,WAREHOUSE,780328.2666666671
3510 N KNOX,2420.0,3125.0,1999,,WAREHOUSE,231687.07692307702
3516 N KNOX,14384.0,14990.0,1956,,WAREHOUSE,1045477.0666666701
4601 W ADDISON,31795.0,54450.0,1959,,WAREHOUSE,1970018.2
3435 N KNOX,7355.0,10454.0,1953,,WAREHOUSE,654398.8666666672
3401 N KNOX,10969.0,11761.0,1960,,WAREHOUSE,797263.483333333
3431 N KNOX,7522.0,9409.0,1955,,WAREHOUSE,669257.4133333331
3433 N KNOX,1622.0,1017.0,1967,,WAREHOUSE,144314.74666666702
3543 N KENTON,4800.0,6300.0,1942,,WAREHOUSE,427072.0
3533 N KENTON,13796.0,12600.0,1945,,WAREHOUSE,1002739.2666666701
3523 N KENTON,3150.0,3150.0,1993,,WAREHOUSE,301576.153846154
3513 N KENTON,5000.0,8079.0,1961,,WAREHOUSE,444866.666666667
4545 W ADDISON,4500.0,6875.0,1947,,WAREHOUSE,400380.0
4539 W ADDISON,10292.0,11125.0,1958,,WAREHOUSE,748056.8666666672
3501 N KENTON,4000.0,6320.0,1963,,WAREHOUSE,355893.3333333331
3509 N KENTON,5988.0,7710.0,1962,,WAREHOUSE,532772.3200000001
4515 W ADDISON,6150.0,6589.0,1932,,WAREHOUSE,515370.0
4507 W ADDISON,12788.0,9500.0,1974,,WAREHOUSE,929474.4666666671
4501 W ADDISON,7190.0,7250.0,1941,,WAREHOUSE,639718.2666666671
3450 N KOSTNER,14500.0,19190.0,1961,,WAREHOUSE,1053908.33333333
3548 N KOSTNER,47903.0,62290.0,1986,,WAREHOUSE,2834107.29807692
3452 N KNOX,4000.0,6000.0,1947,,WAREHOUSE,355893.3333333331
3428 N KNOX,3896.0,4125.0,1967,,WAREHOUSE,346640.106666667
3426 N KNOX,2442.0,4125.0,1976,,WAREHOUSE,217272.87999999998
3422 N KNOX,6004.0,6375.0,1953,,WAREHOUSE,534195.8933333331
3418 N KNOX,5612.0,6000.0,1957,,WAREHOUSE,499318.34666666697
3440 N KNOX,17006.0,18375.0,1949,,WAREHOUSE,1236052.76666667
3414 N KNOX,8092.0,4125.0,1960,,WAREHOUSE,719972.213333333
4619 W ROSCOE,11250.0,27250.0,1939,,WAREHOUSE,817687.5
3316 N KNOX,3582.0,5450.0,1983,,WAREHOUSE,318702.48000000004
3312 N KNOX,7950.0,10900.0,1959,,WAREHOUSE,707338.0
3333 N KNOX,12773.0,13655.0,1950,,WAREHOUSE,928384.216666667
3315 N KNOX,19900.0,18756.0,1948,,WAREHOUSE,1446398.33333333
3311 N KNOX,5756.0,2731.0,1952,,WAREHOUSE,512130.506666667
3421 N KIMBALL,52005.0,63748.0,1955,,WAREHOUSE,2839906.3749999995
3319 W NEWPORT,15030.0,20100.0,1951,,WAREHOUSE,1092430.5
3334 W NEWPORT,6663.0,11920.0,1959,,WAREHOUSE,592829.3200000001
3437 N KIMBALL,15432.0,22179.0,1947,,WAREHOUSE,1121649.2
3441 N KIMBALL,13550.0,19984.0,1954,,WAREHOUSE,984859.1666666671
3550 N SPAULDING,28820.0,32950.0,1949,,WAREHOUSE,1785687.2
3538 N KIMBALL,36812.0,44963.0,1996,,WAREHOUSE,2461873.2923076893
3505 N KIMBALL,100240.0,118224.0,1953,,WAREHOUSE,4131391.6
3250 N KEDZIE,3266.0,26702.0,1933,,WAREHOUSE,273690.8
3250 N KEDZIE,4024.0,121594.0,1970,,WAREHOUSE,358028.69333333307
3360 N KEDZIE,2448.0,22112.0,2017,,WAREHOUSE,234367.753846154
3727 N KEDZIE,4464.0,9375.0,1968,,WAREHOUSE,397176.96
3733 N KEDZIE,8000.0,6250.0,1974,,WAREHOUSE,711786.6666666671
2601 W IRVING PARK,522886.0,249157.0,1940,,WAREHOUSE,21550746.49
3918 N WESTERN,2200.0,2750.0,1933,,WAREHOUSE,184360.0
3600 N TALMAN,46170.0,83125.0,1957,,WAREHOUSE,2521266.75
3535 N ELSTON,2975.0,6250.0,1961,,WAREHOUSE,264695.666666667
3533 N ELSTON,6190.0,6186.0,1936,,WAREHOUSE,550744.9333333331
3519 N ELSTON,7303.0,6250.0,1956,,WAREHOUSE,649772.2533333331
3515 N ELSTON,3125.0,3125.0,1987,,WAREHOUSE,299182.69230769196
3510 N ELSTON,5875.0,5721.0,1949,,WAREHOUSE,522718.3333333331
3401 N KEDZIE,5658.0,5704.0,1931,,WAREHOUSE,474140.4
3453 N ELSTON,18995.0,19800.0,1943,,WAREHOUSE,1380619.91666667
3449 N ELSTON,11330.0,13332.0,1956,,WAREHOUSE,823502.1666666671
3358 N ELSTON,6250.0,6250.0,1937,,WAREHOUSE,556083.3333333331
3356 N ELSTON,3000.0,3125.0,1938,,WAREHOUSE,266920.0
3350 N ELSTON,6022.0,5950.0,1923,,WAREHOUSE,504643.6
3326 N SACRAMENTO,3600.0,8208.0,1904,,WAREHOUSE,301680.0
3368 N ELSTON,4662.0,6326.0,1911,,WAREHOUSE,446332.707692308
3364 N ELSTON,4715.0,4718.0,1942,,WAREHOUSE,419509.266666667
4227 W BELMONT,12765.0,14800.0,1926,,WAREHOUSE,871211.25
4243 W BELMONT,14434.0,24223.0,1979,,WAREHOUSE,1049111.23333333
3125 N KENOSHA,60052.0,47532.0,2012,,WAREHOUSE,3552884.192307689
4201 W BELMONT,65484.0,64163.0,1928,,WAREHOUSE,3347869.5
4183 W BELMONT,3531.0,4125.0,1973,,WAREHOUSE,314164.83999999997
4179 W BELMONT,9742.0,9375.0,1954,,WAREHOUSE,866778.213333333
4163 W BELMONT,15852.0,38687.0,1954,,WAREHOUSE,1152176.2
3040 N TRIPP,29120.0,51712.0,1980,,WAREHOUSE,1804275.2
2944 N PULASKI,1250.0,6250.0,2014,,WAREHOUSE,119673.076923077
4246 W DIVERSEY,9634.0,9375.0,1962,,WAREHOUSE,857169.093333333
4240 W DIVERSEY,7250.0,7250.0,1959,,WAREHOUSE,645056.6666666671
4256 W DIVERSEY,12500.0,12500.0,1942,,WAREHOUSE,908541.6666666671
2801 N TRIPP,139507.0,148632.0,1947,,WAREHOUSE,5749781.005
2916 N KEARSARGE,11081.0,26106.0,1950,,WAREHOUSE,805404.0166666671
4557 W DIVERSEY,5405.0,6500.0,1927,,WAREHOUSE,452939.0
4553 W DIVERSEY,5310.0,6000.0,1930,,WAREHOUSE,444978.0
4638 W FULLERTON,7776.0,11025.0,1990,,WAREHOUSE,744462.276923077
4632 W FULLERTON,4345.0,3675.0,1935,,WAREHOUSE,364111.0
4628 W FULLERTON,4200.0,7350.0,1928,,WAREHOUSE,351960.0
4618 W FULLERTON,6413.0,8658.0,1953,,WAREHOUSE,570585.986666667
4200 W SCHUBERT,42310.0,63758.0,1923,,WAREHOUSE,2163098.75
4120 W WRIGHTWOOD,33207.0,38898.0,1950,,WAREHOUSE,2057505.72
2701 N KILDARE,139533.0,126531.0,1923,,WAREHOUSE,5361555.524999999
4221 W DIVERSEY,99378.0,139545.0,1926,,WAREHOUSE,5080700.25
4231 W DIVERSEY,16261.0,42410.0,1991,,WAREHOUSE,1276175.78846154
4014 W PARKER,7410.0,4227.0,1933,,WAREHOUSE,620958.0
2734 N PULASKI,10600.0,9375.0,1930,,WAREHOUSE,723450.0
4101 W PARKER,85000.0,131847.0,1939,,WAREHOUSE,4641708.333333329
4031 W PARKER,11400.0,12600.0,2011,,WAREHOUSE,894680.7692307689
4017 W PARKER,2075.0,7653.0,1942,,WAREHOUSE,184619.666666667
4042 W SCHUBERT,1075.0,3125.0,1941,,WAREHOUSE,95646.3333333333
4038 W SCHUBERT,4500.0,9375.0,1967,,WAREHOUSE,400380.0
4032 W SCHUBERT,3750.0,9375.0,1943,,WAREHOUSE,333650.0
4020 W SCHUBERT,6270.0,9375.0,1926,,WAREHOUSE,525426.0
2520 N CICERO,3348.0,5952.0,1970,,WAREHOUSE,297882.72000000003
6223 W BELMONT,3000.0,6300.0,1962,,WAREHOUSE,266920.0
6115 W BELMONT,2000.0,3150.0,1954,,WAREHOUSE,177946.666666667
6632 W DIVERSEY,15620.0,18750.0,1957,,WAREHOUSE,1135313.6666666702
6655 W DIVERSEY,63744.0,102758.0,1965,,WAREHOUSE,3480953.6
2053 N OAK PARK,532806.0,880661.0,1958,,WAREHOUSE,21959599.29
2019 N OAK PARK,3441.0,148104.0,1993,,WAREHOUSE,329436.04615384596
6445 W GRAND,23032.0,25322.0,1970,,WAREHOUSE,1427062.72
