address,square_feet,land_area,year_built,property_class,use_type,market_value
200 W 127TH CHICAGO,31811.0,671515.0,1982,"5-93, 5-93",Industrial-Storage Warehouses,5964000.0
4601 S TRIPP CHICAGO,12036.0,32234.0,1980,5-93,Industrial-Storage Warehouses,688000.0
5632 S CENTRAL CHICAGO,2500.0,12500.0,1982,"5-93, 5-93, 5-17, 5-90",Industrial-Storage Warehouses,268000.0
830 W 40TH CHICAGO,74628.0,153941.0,1982,6-63,Industrial-Storage Warehouses,6117000.0
6150 S NEW ENGLAND CHICAGO,65476.0,84598.0,1982,"5-93, 5-93",Industrial-Light Manufacturing,3403000.0
3145 W COLUMBUS CHICAGO,24281.0,42900.0,1982,5-93,Industrial-Light Manufacturing,841000.0
1515 W 74TH CHICAGO,9135.0,119207.0,1950,5-93,Industrial-Storage Warehouses,1156000.0
1929 W 87TH CHICAGO,2500.0,3125.0,1982,5-93,Industrial-Storage Warehouses,104000.0
4241 S KILPATRICK CHICAGO,2160.0,34592.0,1981,"5-93, 5-93",Industrial-Storage Warehouses,437000.0
4233 S KILPATRICK CHICAGO,1764.0,22022.0,1981,"5-90, 5-90, 5-90, 5-93, 5-93",Industrial-Outdoor Storage,295000.0
4201 S MORGAN CHICAGO,164757.0,377577.0,1981,5-93,Industrial-Storage Warehouses,9132000.0
1425 W 47TH CHICAGO,10919.0,11670.0,1981,"5-93, 5-93, 5-93, 5-93",Industrial-Light Manufacturing,763000.0
4800 S KILBOURN CHICAGO,237803.0,372438.0,1981,"5-93, 5-93, 5-93",Industrial-Heavy (Process) Manufacturing,7416000.0
4237 S KEATING CHICAGO,5342.0,160659.0,1981,"5-80, 5-80, 5-80, 5-93, 5-80, 5-80, 5-80, 5-80, 5-80, 5-80",Industrial-Outdoor Storage,1805000.0
4220 S KILDARE CHICAGO,310775.0,542918.0,1981,5-93,Industrial-Cold Storage Facility,12922000
4333 S KNOX CHICAGO,10000.0,67362.0,1981,"5-93, 5-80, 5-80, 5-80, 5-80",Industrial-Outdoor Storage,1045000.0
4631 S RACINE CHICAGO,14000.0,1470865.0,1981,"5-80, 5-80, 5-80, 5-80, 5-93, 5-80, 5-80, 5-80, 5-80, 5-80, 5-80, 5-80",Industrial-Storage Warehouses,15377000
401 W 110TH CHICAGO,2835.0,46230.0,1981,"5-80, 5-93",Industrial-Storage Warehouses,442000.0
6226 S OAK PARK CHICAGO,55338.0,70495.0,1980,5-93,Industrial-Light Manufacturing,2876000.0
601 W 80TH CHICAGO,21620.0,63929.0,1980,"5-93, 5-93",Industrial-Heavy (Process) Manufacturing,749000.0
4201 W 69TH CHICAGO,69350.0,528818.0,1980,5-93,Industrial-Chemical/Oil Refinery,6304000.0
6100 S NEW ENGLAND CHICAGO,33878.0,147194.0,1966,"5-80, 5-80, 5-93, 5-80",Industrial-Light Manufacturing,2555000.0
4848 S HOYNE CHICAGO,83177.0,199355.0,1959,"5-93, 5-93, 5-93, 5-93, 5-93",Industrial-Storage Warehouses,4247000.0
4057 S UNION CHICAGO,64182.0,167511.0,1979,"5-93, 5-93",Industrial-Storage Warehouses,3953000.0
6200 S SAYRE CHICAGO,32640.0,79052.0,1979,5-93,Industrial-Heavy (Process) Manufacturing,1696000.0
4309 S MORGAN CHICAGO,210520.0,301931.0,1978,5-93,Industrial-Storage Warehouses,11668000
6850 W 62ND CHICAGO,168073.0,436036.0,1978,"6-70, 6-70, 6-63",Industrial-Light Manufacturing,10313000
6101 S HARLEM CHICAGO,115855.0,174211.0,1978,5-93,Industrial-Light Manufacturing,5419000.0
1539 W 43RD CHICAGO,44466.0,74594.0,1978,5-93,Industrial-Storage Warehouses,2738000.0
4021 S WESTERN CHICAGO,41025.0,67653.0,1973,"5-93, 5-80, 5-93, 5-93, 5-93, 5-93, 5-93, 5-93, 5-93",Industrial-Light Manufacturing,2606000.0
4400 S PACKERS CHICAGO,227032.0,273281.0,1973,"5-93, 5-93",Industrial-Light Manufacturing,12584000
1313 W 74TH CHICAGO,19713.0,65625.0,1974,"5-80, 5-93, 5-93",Industrial-Light Manufacturing,751000.0
7000 W 63RD ST CHICAGO,37850.0,75703.0,1972,"5-93, 5-93, 5-93, 5-93, 5-80, 5-80, 5-93, 5-93, 5-93, 5-93, 5-93, 5-93, 5-93, 5-80, 5-80, 5-80",Industrial-Storage Warehouses,1967000.0
2141 W 79TH CHICAGO,3128.0,82846.0,1972,"5-93, 5-93",Industrial-Utility NonEnergy Production,743000.0
1555 W 44TH CHICAGO,194208.0,358522.0,1972,5-93,Industrial-Distribution Warehouse  Single Story,10764000
3234 W 49TH CHICAGO,46490.0,52461.0,1972,"5-93, 5-93",Industrial-Light Manufacturing,2310000.0
6054 W 63RD CHICAGO,4000.0,3125.0,1972,5-93,Industrial-Storage Warehouses,249000.0
4015 S ASHLAND CHICAGO,3000.0,115670.0,1972,5-93,Industrial-Storage Warehouses,1318000.0
